STUDENT,CRSE,GRADE_CATGORY,CRSE_SEM,GRAD_SEM
568,414,1,7.0,8.0
570,101,1,1.0,8.0
570,265,1,1.0,8.0
570,201,1,2.0,8.0
570,267,1,2.0,8.0
570,317,1,3.0,8.0
570,301,1,5.0,8.0
570,435,1,5.0,8.0
570,414,1,4.0,8.0
570,304,1,7.0,8.0
570,365,1,8.0,8.0
570,436,1,8.0,8.0
570,492,1,8.0,8.0
571,165,1,2.0,8.0
572,101,1,5.0,0.0
575,105,1,1.0,8.0
577,265,1,1.0,8.0
577,240,1,3.0,8.0
577,317,1,3.0,8.0
577,201,1,2.0,8.0
577,342,1,4.0,8.0
577,492,1,7.0,8.0
577,414,1,6.0,8.0
579,104,1,4.0,8.0
581,166,1,2.0,0.0
583,143,1,1.0,0.0
583,150,1,3.0,0.0
584,140,1,1.0,8.0
584,143,1,2.0,8.0
585,342,1,5.0,8.0
585,414,1,5.0,8.0
585,317,1,4.0,8.0
585,341,1,4.0,8.0
585,373,1,7.0,8.0
585,492,1,7.0,8.0
585,240,1,6.0,8.0
586,143,1,2.0,8.0
586,140,1,5.0,8.0
588,150,-1,5.0,9.0
589,101,1,1.0,8.0
589,267,1,1.0,8.0
589,373,1,3.0,8.0
589,317,1,2.0,8.0
589,301,1,5.0,8.0
589,385,1,4.0,8.0
589,414,1,7.0,8.0
589,302,1,8.0,8.0
589,314,1,8.0,8.0
589,365,1,8.0,8.0
592,143,1,3.0,0.0
593,101,1,1.0,8.0
593,265,1,1.0,8.0
593,317,1,3.0,8.0
593,414,1,3.0,8.0
593,201,1,2.0,8.0
593,267,1,2.0,8.0
593,301,1,5.0,8.0
593,365,1,4.0,8.0
593,415,1,4.0,8.0
593,495,1,6.0,8.0
593,492,1,7.0,8.0
593,314,-1,8.0,8.0
594,165,1,1.0,8.0
594,166,1,2.0,8.0
595,201,1,3.0,8.0
595,265,1,3.0,8.0
595,267,1,4.0,8.0
595,317,1,5.0,8.0
596,105,1,6.0,6.0
597,145,1,3.0,5.0
598,165,1,2.0,0.0
598,166,1,3.0,0.0
598,265,1,5.0,0.0
601,166,-1,3.0,10.0
601,166,-1,2.0,10.0
602,265,1,2.0,9.0
602,166,1,1.0,9.0
603,104,1,7.0,8.0
604,207,-1,3.0,8.0
605,165,-1,2.0,8.0
606,105,1,1.0,7.0
606,104,1,2.0,7.0
607,266,1,3.0,7.0
607,317,1,5.0,7.0
607,201,1,4.0,7.0
607,301,1,6.0,7.0
609,207,1,3.0,12.0
609,165,1,2.0,12.0
610,150,1,2.0,8.0
614,414,1,5.0,8.0
614,414,1,5.0,8.0
614,435,1,5.0,8.0
614,435,1,5.0,8.0
614,301,1,4.0,8.0
614,301,1,4.0,8.0
